LABEL,TEXT
0,"Just a reminder, the team meeting has follow rescheduled to Wednesday at 10 AM. Please see to it you review the project updates before the meeting thence we can discuss them."
1,Your phone act motive verification. Verify it now at: http://goo.gl/727634
1,Overcome computer programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays
1,Ur cash-balance make up presently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
0,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
1,Hope you enjoyed your new content. text plosive speech sound to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
0,Then mum's repent how?
1,"Dear user, your social media account has been hacked. Secure it now: http://socialsecure.com/protect"
1,Your tour mathematical group of necessity your confirmation. Confirm here: http://bit.ly/234818
1,Important: Your mailbox subscription exist roughly to expire. Renew now to void interruption: http://fakeupdate.com/mailbox
1,Ur HMV Quiz cash-balance is currently£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
0,Can you send out me that article about the latest tech trends? unity want to read up along it before our meeting.
0,Just wanted to remind you about the meeting tomorrow at 10 AM. come across you there!
1,Message authoritative information for O2 user. Today is your golden day! 2 find out why log onto there is a fantastic storm awaiting you http://www.urawinner.com
0,Found a new website that streams sure-enough TV shows for free. You mightiness alike it!
1,Get a free consultation with our pet nutritionist. Book now at: http://tinyurl.com/791252
0,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
1,"URGENT!! Your 4* Costa Del colloidal suspension vacation or£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
0,Your childcare services have live completed. Thank you for choosing our service.
0,Your one time password is 361251
0,"Hey, I finally perfected that dinero formula we were working on. Sending you the details now!"
1,Medical Cannabis archetype Bags 450‚ª€¦ Shipping along us http://qfwu.me/911sLJ
0,"Hey, can you please send me the minutes from the last meeting? I need to brushup them in front our next discussion. Thanks A bunch!"
1,New message from your dating site. View it by clicking here: http://datemsg.com/view
0,"Transfer to you money in BIT!
NIS 250.0 awaits you with a Brazilian delicacy in the BIT app.
For approval of the transfer, enter the app up to 25/08: https://www.bitpay.co.il/app/transaction-info?i=FLSQM"
0,precisely update my antivirus software. Make trusted you do the same to stay protected!
1,Congrats! You've succeed a free year's subscription to Spotify. call it here: http://spotifywin.com/claim
0,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
0,Ok... Take ur time n enjoy ur dinner...
0,merely wanted to remind you about the meeting tomorrow atomic number 85 10 AM. See you there!
1,You have ampere new voicemail. listen now: http://voicemailscam.com/listen
0,Yeah it's jus rite...
0,Oktell me later
0,Your call up service report is available. Please check your electronic mail for details.
0,Thank you for your payment. Your tour booking is now complete.
0,I found a really cool tutorial on how to build a custom PC. I'll get off you the link so you crapper check it out too.
0,"Hey, just wanted to remind you about our online game session tonight. Don't be late!"
0,Thank you for active in our pet health survey. Your feedback is valuable to us.
0,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
0,Reminder: Your health insurance renewal is imputable on 4/18/2024. delight renew to go forward coverage.
1,Your credits feature been topped up for Your renewal Pin is tgxxrz http://www.bubbletext.com
1,"Urgent Ur awarded type A complimentary set off to EuroDisinc Trav, Aco&Entry41 Or£1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
1,Get exclusive deals on phone services! Click here to view: http://goo.gl/525101
1,You ingest 1 new message. delight call 08715205273
1,"dearly customer, your delivery cannot be completed. Please reschedule away chatter here: http://renewscam.com/reschedule"
0,Thank you for choosing our supermarket services. Your order details have represent netmail to you.
1,Your health appointment has been approved. View details here: http://tinyurl.com/529535
1,Final notice: You have been pre-approved for a loan. employ now to receive your funds: http://scamloan.com/apply
0,Ok i msg u b4 i leave my house.
0,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
1,You have a new telling from your environmental group. prospect it here: http://notification.com/view
1,Your membership to the I club has been upgraded. catch the new benefits by clicking here: http://fraudsite.com/upgrade
1,"	Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just£1.50 per wk 2 opt out send STOP 08452810071 16"
1,"	Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp"
0,You do your studies alone without anyones help. If you cant no need to study.
1,surety alert: Unrecognized device attempting to access your account. clink here to review: http://securefake.com/review
1,"You deserve a quick loan up to NIS 100,000 pressure: based along success!- Remove: Remove https://lnk1.me/r/sm https://lnk1.me/r/bl"
0,"We will continue to talk in Wetsap?
Please reply€œyes€ for continued call on Wetsap
Or ""no"" to continue the call on SMS."
1,Alert! Your payment method acting was declined. Update your payment info: http://paymentupdate.com/update
0,Your polling station details are available. please check your electronic mail for details.
0,Take some small dose tablet for fever
0,give thanks you for sign to our newsletter. Stay tuned for exclusive deals and offers.
1,Important update: Your car policy needs verification. affirm here: http://tinyurl.com/743814
1,Congrats! You've won group A $150 Visa gift card. Claim it now: http://visagiftwin.com/claim
1,Alert: Your Etsy order deliver been shipped. dog it here: http://etsytrack.com/track
1,"Dear customer, your package saving is on hold. confirm your address: http://packageconfirm.com/confirm"
0,What's the significance?
1,Congrats! You get personify selected for a release spa day. Claim it here: http://spadaywin.com/claim
1,You have a new telling from your travel account. purview it here: http://notification.com/view
1,You have got angstrom unit newly voicemail regarding your reservation. Listen now: http://voicemailscam.com/listen
1,You have won a guaranteed£200 award or yet£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
1,P just made your holidays more fun. grease one's palms any HP marquee notebook & get a Kodak camera. Shoot it. Share it. T&C apply. HP World: WOC Rd 9986686555 / 991697439
0,Nope i'm not drivin... I neva develop da photos lei...
1,"Hi infant its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP Text stop to stopCost 150p 08712400603 visionsms.com"
1,Congratulations! You've bring home the bacon a $200 Apple gift card. claim it here: http://appleprize.com/claim
1,authoritative update: Your supermarket membership needs verification. Verify here: http://tinyurl.com/443366
0,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
1,"Congratulations, you are eligible for deoxyadenosine monophosphate reward. Click to claim: http://winprizescam.com/reward"
1,novel subject matter from support team. View it by clicking here: http://bankmsg.com/support
1,Urgent: Your Netflix score has been suspended. reactivate it here: http://netflixreactivate.com/renew
0,Your recent health insurance policy take has been processed. You will find the payment shortly.
1,"Congratulations, you are eligible for angstrom unit dining reward. Click to claim: http://winprizescam.com/reward"
1,"Thanks for your ringtone order, point of reference number mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182 X49.Your"
0,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid and doesn't like selling without me there and I can't be up there til late tonight"
0,Can you send me the contact details for the new client we discussed in yesterday's meeting? I need to set up Associate in Nursing introductory call with them by the end of this week.
0,Your locomote insurance policy birth been successfully renewed. secure travels!
0,Oh ok i didnt know what you meant. Yep i am baby jontin
0,Reminder: Your dedication points will expire soon. ransom them before they are gone.
0,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
1,"give thanks you, winner notified by sms. Good Luck! atomic number 102 future marketing reply layover to 84122 customer services 08450542832"
0,Wat's da model num of ur phone?
0,Your child's day care subscription receive personify successfully extended. Enjoy continued services.
0,I signed up for a dating workshop next week. Want to join me? It should be fun!
1,URGENT: Your Amazon order is on hold. Confirm your payment: http://amazonorder.com/confirm
0,Happy Holidays! Hope you have a wonderful time with your family and friends.
0,I miss you so much! Can't wait to go through you next month and expend some quality time together. It's been too long!
0,You could have seen me..i did't recognise you Face.:)
1,Get a free car washout by signing up here: http://tinyurl.com/962298
1,Alert! Your defrayal method personify declined. Update your defrayal info: http://paymentupdate.com/update
1,Urgent: Confirm your netmail address to receive pending funds. snap on the link below to confirm: http://emailconfirm.com/funds
0,You getting back any time soon?
1,Confirm your email address to invite authoritative updates: http://emailconfirm.com/confirm
1,"You haven't heard of such an operation.Advanced to Samsung Galaxy S22+/S22 ULTRA and receive a powerful Samsung heavy projector, as a gift. The inventory has been new Galaxy inside one click: Removal not to 1607. limited.Your https://bit.ly/382lSYt"
1,of import notice: Update your supermarket account info here: http://goo.gl/930192
1,Congratulations! You've been selected for amp free election kit. Claim it here: http://bit.ly/175100
0,"We thank you for joining the Wesure Insurance Community :) The obligation insurance policy will be sent to you by email as soon as possible.We are at your disposal at any time to give you the best service.Company website: Customer Service: 6835*.Welcome, Alber Insurance Agency named Wesure Insurance Company Ltd. www.we-sure.co.il"
0,"Thanks!
For Passover, we have returned more than 30,000 recovering and wounded to their home.
50 recovering are still waiting to come home - let's fulfill their dream too!
For donations>

Removal ""Remove"" or https://did.li/s-p-pd http://rmve.me/FUIXT"
0,"Yeah, probably here for a while"
1,Urgent! Your phone greenback is overdue. pay off it now at: http://bit.ly/872757
1,"URGENT! Your mobile No *********** WON a£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
0,thank you for subscribing to our newsletter. delay tuned for exclusive deals and offers.
1,Your wellness account throw represent flagged for suspicious activity. Verify now: http://healthflag.com/verify
1,Important! Your delivery is scheduled. confirm the delivery appointment here: http://deliveryconfirm.com/schedule
1,Your score motive verification. verify now: http://accountverify.com/verify
0,We have pizza if u want
1,Verify your details to avoid account suspension: https://fakeverify.com
0,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
1,Important update: Your car insurance needs verification. Verify here: http://tinyurl.com/743814
1,"Urgent! call 09066350760 from your landline. Your free 4* Ibiza Holiday or 20,000 cash look collection SAE T&Cs Po River BOX 434 SK3 8WP 150 ppm 18+"
1,"Dear customer, your order could non embody processed. Confirm your payment details: http://orderconfirm.com/update"
0,I signed up for a guided tour of the city we're visiting. Want to link up me? It should be fun!
1,Your supermarket story has strange activity. verify it here: http://bit.ly/859513
0,Your recent car insurance claim has been processed. You will receive the defrayment shortly.
1,The neck of the woods War of Independence.Finance for the neighborhood!Return Arnona for the benefit of the neighborhoods!Extra quality of life. Come to the Jerusalem Settlement Program like a shot Removal Return in Link: https://l5k.me/lQa2g_loMyH https://l5k.me/y1pI_loMyH
1,URGENT: Your utility bill is overdue. Pay now to avoid later fees: http://utilitybill.com/pay
0,Thank you for subscribing to our newsletter. Stay tuned for exclusive deals and offers.
1,Security alert: Unrecognized device attempting to access your boom account. Click here to review: http://securefake.com/review
0,Just ordered some new books on dating. Can't wait to read them!
1,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.5,00,000 prize GUARANTEED. Call 7044518857. exact Code FLIP82. Valid 12hrs only."
0,Hi! Are we still on for dinner tonight at 7? Can't wait to see you!
1,"Dear user, your Instagram account experience been flagged. Review it here: http://instagramreview.com/verify"
0,"What miracles of Gd ’–
What is your method?™
1 Shabbat candle
2 admit i
3 a little Saturday"
1,Your late car service has cost cancelled. Get a refund here: http://goo.gl/946473
0,"Sukkot in the doorway and many patients want to celebrate with their family at home and in the sukkah.Thanks to your donation, Yad Sarah can provide them with medical equipment and allow them to be with the family.
For donations>
Removal Removed or: https://did.li/rhpds4 http://rmve.me/FUIXT"
1,"YOU 07801543489 ar assure the latests Nokia Phone, deoxyadenosine monophosphate 40GB iPod MP3 player or deoxyadenosine monophosphate£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
1,"Your disembarrass ringtone embody waiting to be collected. Simply text the countersign ""MIX"" to 85069 to verify. Get Usher and Britney."
0,Your recent child care service request has been received. Our team testament get back to you shortly.
1,Urgent! Your account needs verification. assert now: http://verifyaccount.com/secure
1,Congratulations! You've received a costless parcel. Claim it now: http://scamlink.com/parcel
1,Alert: We detected strange activity atomic number 49 your date account. Secure it now: http://datingfraud.com/secure
0,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
1,Immediate military action required: Update your billing selective information here: http://phishing.com/billing
0,Thank you for choosing our health services. Your recent appointment has been confirmed.
1,sole deal! Get 30% off your next tour booking at: http://tinyurl.com/157968
1,Congratulations! You've make headway adenine free month of childcare. Claim it here: http://bit.ly/959813
0,Miss you! Can't wait to see you side by side month.
1,Get a make new mobile phone by being an agent of The Mob! Plus loads to a greater extent goodies! For to a greater extent info just text MAT to 87021.
0,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x
0,"Hey, I got axerophthol new slow cooker. Want to come concluded and help ME test it out?"
1,You are the lucky winner of a free year's supply of pet food. Claim it here: http://petfoodwin.com/claim
1,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 feeling to your phone every week just£1.50 per wk 2 opt out send STOP 08452810071 16
1,Important notice: Your recent purchase is along hold. Resolve it here: http://bit.ly/263830
1,"	Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com"
0,Your ballot registration inside information have been successfully updated.
0,"exactly landed and heading to the hotel. The flight was smooth, and I'll update you on the schedule erst I'm settled."
1,Your Holocene ring payment failed. Resolve it here: http://goo.gl/985187
1,Your supermarket explanation has be flagged. Verify IT here: http://goo.gl/988028
0,Will be out of class in a few hours. Sorry
1,tone of voice Club: Your subs has now expired 2 re-sub respond MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg justify Stream 0871212025016
1,Urgent! Your tour booking has personify cancelled. become a return here: http://goo.gl/859501
1,"	Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time."
0,Thank you for shopping with us! Your recent purchase get been sustain and leave be delivered soon.
0,Your recent grocery delivery own personify completed. We hope you enjoy your items.
0,thank you for contacting our patronage team. Your issue deliver been resolved.
0,I found a great recipe for homemade pizza. I'll send you the associate so we can try information technology out together!
1,hard LIVE 121 schmooze just 60p/min. Choose your girl and connect LIVE. birdsong 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
0,Ok ok take care. I can understand.
1,Alert! Your car warranty is about to expire. Extend it here: http://tinyurl.com/710437
1,Exclusive deal! Get 30% off your next tour reserve at: http://bit.ly/393283
1,Congrats! You've won a $50 Starbucks gift card. Claim it now: http://starbucksgift.com/claim
0,Can you send me the notes from yesterday's meeting?
1,especial promotion! Get a free oil change with your next service. Claim it here: http://bit.ly/193838
1,Our records indicate u perchance entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free response with CLAIM to this msg. 2 stop txt STOP
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. "
0,Thts god's gift for birds as humans hav some natural gift frm god..
1,You have been selected for a free gourmet dinner for two. Claim it now: http://gourmetdinnerwin.com/claim
0,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
0,What was she looking for?
1,URGENT: Your Amazon business relationship is At risk. Verify your details now: http://amazonsecure.com/verify
1,Your Holocene purchase has embody cancelled. Get angstrom unit refund here: http://tinyurl.com/196556
0,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
0,Yeah that's the impression I got
0,I subscribe up for a workshop on sustainable living next week. Want to join me? It should be fun!
0,Oh baby of the house. How come you dont have any new pictures on facebook
1,Congrats! You've won a free first appearance to an exclusive event. Claim information technology here: http://eventwin.com/claim
0,Hey! I just saw that fresh game trailer you were talking about. It looks amazing! Have you pre-ordered it yet?
0,"I'm running late, will be there in ten minutes."
1,"The best manner to blank your head, advance www.Zohim.Pro"
1,confirm your email address to experience updates along your shipment: http://emailconfirm.com/confirm
1,Alert! You exist the winner of a $300 gift card to Walmart. Claim it here: http://walmartgiftwin.com/claim
1,URGENT: Your hotel reservation inevitably confirmation. Confirm IT here: http://hotelconfirm.com/verify
0,Sorry. || mail? ||
0,Your car service feedback take in been received. Thank you for helping us improve our services.
1,Special offer! fetch a 50% discount on your next purchase. Redeem IT here: http://tinyurl.com/864602
1,"	Sorry I missed your call let's talk when you have the time. I'm on 07090201529"
1,You have a pending refund for your last delivery. Claim it by clicking here: http://refundscam.com/claim
0,Your recent daycare requital possess been successfully processed.
1,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)"
0,"I'm free this weekend, let's catch up!"
1,significant notice: update your voting information here: http://goo.gl/407294
0,Don't forget to backrest improving your files today. I heard there's a new virus run around that's really nasty.
0,Thank you for hold with us. Your guided tour of the Dead Sea is confirmed.
1,Your tour group needs your confirmation. Confirm here: http://tinyurl.com/634036
1,Alert: Your iCloud storage is full. Upgrade now to avoid data loss: http://icloudupgrade.com/renew
1,Your donation to the keep the Earth fund has been processed. View the acknowledge by click here: http://fraudsite.com/donation
1,Immediate military action required: Update your security stage setting now: http://securityupdate.com/update
1,Great news! You've been selected for a free gym membership. Claim it here: http://gymwin.com/claim
1,swan your personal details to annul account suspension: http://personaldetails.com/verify
1,"Medical bags
Special prices today! wa.me/972545743687"
1,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
0,Let's programme a film night soon. There are a few new releases that I've been wanting to watch. How about next Saturday?
1,Your trueness points have make up credited. View details here: http://bit.ly/213086
1,Congratulations! You've been selected for a free machine inspection. Claim it here: http://tinyurl.com/104339
1,URGENT! Your Mobile number has equal awarded with a£2000 prize GUARANTEED. claim 09061790126 from estate line. Claim 3030. Valid 12hrs only 150ppm
1,The night historical move in the Knesset. We promised and existed. We passed the law to cancel the disengagement from northern Samaria. Continue to settle the land And do good to the country. For removing https://www.inn.co.il/news/595990 https://l5k.me/AMN5a_loMyH
0,Thank you for participating in our pet health survey. Your feedback is worthful to us.
1,Urgent: Your Netflix account has been suspended. Reactivate it here: http://netflixreactivate.com/renew
1,uranium have a Secret Admirer who is looking 2 make contact with U-find prohibited who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
1,You are the lucky winner of a $200 gift card to Amazon. Claim it now: http://amazongift.com/claim
1,glasshouse 20 century = 550 Poppy box loge › https://t.me/rfoibshvilhaa
0,"Hey, I saw your latest blog post. smashing job! actually enjoyed reading it."
1,Win axerophthol $500 election voucher! Enter here: http://bit.ly/907645
1,Important update: Your supermarket membership needs verification. Verify here: http://bit.ly/812168
0,I'll be working from home tomorrow due to amp scheduled maintenance at my place. You can reach me via email or Slack if you need anything.
1,You have a new notice from your environmental group. View it here: http://notification.com/view
1,"Medical Bags 300 NIS
25 Greenhouse at 400‚ª https://did.li/SILVER8"
1,Tomorrow's portentous day for the people of Israel! No one stays at home! Israel in danger - must win! Join us for volunteer on election day: For removing https://zionutdatit.org.il/volunteering-2 https://l5k.me/AMN5a_loMyH
1,"YOUR CHANCE TO BE on A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO boxwood 1327 Croydon CR9 5WB 0870 is a internal = rate call."
1,"	Bloomberg -Message center +447797706009 Why wait? Apply for your futur"
1,Yom Kippur .. Burning Heart ”¥ clip to plug in with Samsi Light for Shabbat cd reminder!free!
1,crucial notice: update your car registration information here: http://bit.ly/442232
1,You have type A new voicemail. Listen now: http://voicemailscam.com
1,ALERT!!! Your credit card HA been used fraudulently. contravention here: http://cardfraud.com/dispute
0,Your pet's insurance claim has comprise processed. You volition receive the reimbursement inside 5-7 business days.
1,You have won a Nokia 7250i.  To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
0,Meeting is reschedule to 2 PM. Please update your calendar.
1,Immediate action required: Your health account needs updating. Update now: http://healthaccountupdate.com/update
1,You follow the lucky winner of a free year of Netflix. Claim it here: http://netflixwin.com/claim
1,URGENT: Your earpiece number has been deactivated. Reactivate IT here: http://phonereactivate.com/renew
0,Just rank some novel clobber online. Can't wait for it to arrive!
1,You have been selected for a rid flight voucher. Claim it now: http://flightwin.com/claim
0,"Yeah, we can probably swing by once my roommate finishes up with his girl"
1,URGENT! Your Twitter explanation has represent locked. unlock it now: http://twitterunlock.com/verify
1,Alert! Your car service appointee has been cancelled. Reschedule here: http://tinyurl.com/840932
1,Immediate action required: Update your medical policy entropy now: http://insuranceupdate.com/update
0,rump we reschedule our lunch to tomorrow? I have an urgent meeting today that I can't miss.
1,Your history is temporarily suspended. reactivate it here: http://accountreactivate.com/reactivate
0,Thank you for contacting our support team. Your supply consume been resolved.
0,"Who do you think is more appropriate to be the next prime minister?
1. Torch
2. Netanyahu
3. The other
4. Gantz

Removal reply to the survey.

Likud"
1,"URGENT! Your mobile number *************** WON a£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
0,Y so late but i need to go n get da laptop...
1,amaze free wellness tips! Sign astir here: http://goo.gl/406820
0,Your recent order has been successfully placed. You will receive a confirmation netmail shortly.
1,security Alert: Unusual activity IN your account. Review now: http://secureaccount.com/review
1,You have a pending repay for your last booking. take it by clicking here: http://refundscam.com/claim
1,Your pet's medication follow prepare for pickup. reassert here: http://goo.gl/283291
1,Your adjacent amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid comprise not enough for 2day text edition back the keyword PICSFREE1 to get the adjacent video.
0,Hi! Our escape live confirmed for next Friday. Don't forget to tamp your sunscreen!
0,That is wondarfull song
1,Congratulations! You've won a free coffee berry for a year. Claim it now: http://freecoffee.com/claim
0,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!"
0,With my sis lor... We juz watched italian job.
1,"Dear customer, your order could not be processed. Confirm your defrayal details: http://orderconfirm.com/update"
1,Important notice: Your Holocene epoch purchase is on hold. Resolve it here: http://bit.ly/777200
1,Your accounting involve verification. aver now: http://accountverify.com/verify
0,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
0,Your recent phone accessory put take in been shipped. Expect delivery within 3-5 business days.
